Intersection,Postal Code,Vehicle Traffic,Pedestrian Traffic
EGLINTON AVE W and HEDDINGTON AVE,M5N 1B1,14096,2607
EGLINTON AVE W and CHAPLIN CRES,M5N 1B8,19751,1037
EGLINTON AVE W and SPADINA RD,M5N 1C2,20620,416
BATHURST ST and EGLINTON AVE W,M5N,20547,2504
EGLINTON AVE W and GLEN CEDAR RD,M6C 2C6,15770,783
EGLINTON AVE W and MARLEE AVE,M6E 2G6,17430,1355
EGLINTON AVE W and OAKWOOD AVE,M6E 2G8,17171,3006
EGLINTON AVE W and NORTHCLIFFE BLVD,M6E 2H6,7308,2900
DUFFERIN ST and EGLINTON AVE W,M6E 2H6,22212,8427
EGLINTON AVE W and ENNERDALE RD,M6E 2J8,9802,3069
AVENUE RD and ELGIN AVE,M5R 3N8,14811,2673
AVENUE RD and DAVENPORT RD,M5R 3S4,31510,4661
AVENUE RD and DUPONT ST,M5R 2J6,16518,642
AVENUE RD and COTTINGHAM ST,M4V 2H2,18929,662
AVENUE RD and BALMORAL AVE,M4V 1J7,23332,1605
ST CLAIR AVE W and AVENUE RD,M4V 0A1,29303,4696
AVENUE RD and LONSDALE RD,M4V,19162,807
ORIOLE PKWY and GORMLEY AVE,M4V 1W6,19054,195
ORIOLE PKWY and CHAPLIN CRES,M5P 2H1,14555,716
AVENUE RD and CHAPLIN CRES,M5P 2K5,19127,601
AVENUE RD and ST CLEMENTS AVE,M5N 1M2,18012,970
AVENUE RD and GLENGROVE AVE W,M4R 1P4,22274,416
AVENUE RD and LAWRENCE AVE W,M5N,27712,2674
AVENUE RD and FAIRLAWN AVE,M5M 3Y4,20920,1089
AVENUE RD and BROOKE AVE,M5M 4A1,22365,1366
AVENUE RD and DUNBLAINE AVE,M5M 4A6,16556,638
AVENUE RD and WILSON AVE,M5M,33867,1383
YONGE ST and YORK MILLS RD,M2P,38102,1068
YONGE ST and SHEPPARD AVE,M2N,38219,12257
YONGE ST and EMPRESS AVE,M2N,21274,11387
YONGE ST and CHURCH AVE,M2N,20746,5164
YONGE ST and FINCH AVE,M2M,29978,13027
YONGE ST and CUMMER AVE,M2M,28482,2794
YONGE ST and MADAWASKA AVE,M2M,25570,1461
YONGE ST and STEELES AVE,M2M 3Y2,42005,6483
MOUNT PLEASANT RD and ELM AVE,M4W 1N4,15595,1057
MOUNT PLEASANT RD and INGLEWOOD DR,M4T 1H7,16844,493
MOUNT PLEASANT RD and ST CLAIR AVE E,M4T 1P1,16436,366
MOUNT PLEASANT RD and MOORE AVE,M4T 1V3,14138,237
MOUNT PLEASANT RD and MERTON ST,M4S 2L5,19066,744
MOUNT PLEASANT RD and DAVISVILLE AVE,M4S,20037,2463
MOUNT PLEASANT RD and MANOR RD E,M4S 2N1,16260,1698
MOUNT PLEASANT RD and BROADWAY AVE,M4P 2L6,16019,1976
MOUNT PLEASANT RD and BLYTHWOOD RD,M4N 1A4,17509,381
MOUNT PLEASANT RD and ST LEONARDS AVE,M4N 1K2,11213,186
MOUNT PLEASANT RD and LAWRENCE AVE E,M4N 2V1,16832,290
KINGSTON RD and MORNINGSIDE AVE,M1E 3E8,25440,2070
KINGSTON RD and LAWRENCE AVE E,M1E,32159,2590
KINGSTON RD and GALLOWAY RD,M1E,23952,850
KINGSTON RD and GUILDWOOD PKWY,M1J,24763,258
KINGSTON RD and EGLINTON AVE E,M1J 3N6,26434,306
KINGSTON RD and MARKHAM RD,M1M,21905,652
KINGSTON RD and MCCOWAN RD,M1M,29118,1137
KINGSTON RD and ST CLAIR AVE E,M1M 1M7,22911,604
KINGSTON RD and MIDLAND AVE,M1M,21013,1644
KINGSTON RD and SANDOWN AVE,M1N 1V3,22525,701
KINGSTON RD and CLAREMORE AVE,M1N 1T8,20066,394
KINGSTON RD and BIRCHMOUNT RD,Canada,13485,286
KINGSTON RD and BIRCHCLIFF AVE,M1N 1S4,10312,559
KINGSTON RD and WARDEN AVE,M1N 1R3,14473,700
KINGSTON RD and FALLINGBROOK RD,M1N 1N3,12928,895
KINGSTON RD and VICTORIA PARK AVE,M4E 1T4,14869,2506
KINGSTON RD and BEECH AVE,M4E 3J4,11564,821
KINGSTON RD and MAIN ST,M4E 1R3,16657,1640
KINGSTON RD and WAVERLEY RD,M4L 1V2,12652,778
KINGSTON RD and WOODBINE AVE,M4E 2H6,23556,954
KINGSTON RD and DUNDAS ST E,M4L,11441,1020
KINGSTON RD and BRIMLEY RD,M1M 1M5,21729,790
CHURCH ST and PARK RD,M4W 2N1,10903,2212
UNIVERSITY AVE and ARMOURY ST,M5G 1Y1,23658,7660
BAYVIEW AVE and NESBITT DR,M4H,18084,52
QUEEN ST E and COXWELL AVE,M4L 1G4,9821,2920
BAYVIEW AVE and MOORE AVE,M4G,22923,753
BAYVIEW AVE and MCRAE DR,M4G 3A7,20257,982
BAYVIEW AVE and MILLWOOD RD,M4S 1K8,18168,2599
BAYVIEW AVE and MANOR RD E,M4S 1S8,13751,2011
AVENUE RD and EDMUND AVE,M4V 2H4,21764,702
QUEEN ST E and RIVER ST,M5A,8869,1047
RIVER ST and SHUTER ST,M5A 3P1,6776,718
GERRARD ST E and RIVER ST,M5A 3R1,12274,1068
BAYVIEW AVE and RIVER ST,M5A,11198,103
DANFORTH AVE and SIBLEY AVE,M4C 1M5,11764,1530
BAYVIEW AVE and BROADWAY AVE,M4G,16962,1133
DUNDAS ST W and OSSINGTON AVE,M6J 1X2,11860,7315
DUNDAS ST W and LANSDOWNE AVE,M6K 1V6,13572,2756
DUNDAS ST W and DOVERCOURT RD,M6J 1X8,14775,3301
DUNDAS ST W and BROCK AVE,M6K 1V1,10205,2094
YORKLAND RD and HERONS HILL WAY,M2J 0A2,9900,840
JANE ST and DUNDAS ST W,M6S 4A6,23158,1243
DUNDAS ST W and RUNNYMEDE RD,M6S 2S1,18021,1280
DUNDAS ST W and PACIFIC AVE,M6P 1Y8,9675,2789
DUNDAS ST W and KEELE ST,M6P 1Y7,19464,4643
BAYVIEW AVE and POST RD,M2L,27993,564
DUFFERIN ST and DUNDAS ST W,M6J 1Y6,14442,5244
EGLINTON AVE E and BELLAMY RD N,M1J 2K9,15975,1508
EGLINTON AVE E and MCCOWAN RD,M1J,18352,987
BAY ST and GROSVENOR ST,M4Y 3G5,11998,6448
ST CLAIR AVE W and EARLSCOURT AVE,M6E,7138,1178
DIXON RD and CITY VIEW DR,M9W,21314,484
DUNDAS ST W and BATHURST ST,M5T 2S3,15414,10194
GERRARD ST E and SACKVILLE ST,M5A 2G7,9592,2707
SIMCOE ST and ADELAIDE ST W,M5V 0H5,7279,6248
KING ST W and SIMCOE ST,M5H 3X6,8437,25628
BAYVIEW AVE and BLYTHWOOD RD,M4N,24828,765
KING ST W and BATHURST ST,M5V 2P9,15478,7878
VICTORIA PARK AVE and CRAIGTON DR,M1L,23584,1515
LAKE SHORE BLVD E and LOWER SHERBOURNE ST,M5A 3Y4,13327,952
HARBOUR ST and YORK ST,M5J 1B7,13737,2168
LAKE SHORE BLVD W and YORK ST,M5J,24814,7285
LAKE SHORE BLVD E and LESLIE ST,M4M,27371,764
LAKE SHORE BLVD E and CARLAW AVE,M4M 1B2,31363,624
LAKE SHORE BLVD E and DON ROADWAY,M4M,10974,41
LAKE SHORE BLVD E and PARLIAMENT ST,M5A,15771,601
LAKE SHORE BLVD E and LOWER JARVIS ST,M5E 1Z2,22735,1895
YONGE ST and LAKE SHORE BLVD W,M5E,10520,2020
LAKE SHORE BLVD W and BAY ST,M5J,17008,13149
BAY ST and HARBOUR ST,M5J,18261,7776
ADELAIDE ST E and PARLIAMENT ST,M5A 2Y9,9398,685
LAKE SHORE BLVD W and SPADINA AVE,Canada,24526,854
LAKE SHORE BLVD W and FLEET ST,M5V,26327,2277
EGLINTON AVE E and FALMOUTH AVE,M1K,20253,1345
LAKE SHORE BLVD W and BURLINGTON ST,M8V 1A8,8502,1159
CHAPLIN CRES and ROSELAWN AVE,M5N 1K9,8121,751
EGLINTON AVE E and FORMAN AVE,M4P 1L8,14649,872
LAKE SHORE BLVD W and STADIUM RD,M5V,21335,717
LAKE SHORE BLVD W and STRACHAN AVE,M5V,25571,163
RICHMOND ST E and PARLIAMENT ST,M5A 2Y8,14745,1642
LAKE SHORE BLVD W and JAMESON AVE,M6K,10490,252
CHURCH ST and CHARLES ST E,M7A 1G6,10905,3660
LAKE SHORE BLVD W and PARKSIDE DR,M6K,30083,301
QUEENS PARK and QUEENS PARK CRES W,M5S,18591,4063
LAKE SHORE BLVD W and ELLIS AVE,M6S,34804,176
LAKE SHORE BLVD W and WINDERMERE AVE,M6S,37009,263
LAKE SHORE BLVD W and PARK LAWN RD,M8V,18994,1636
LAKE SHORE BLVD W and SUPERIOR AVE,M8V 1B7,8705,2785
LAKE SHORE BLVD W and MIMICO AVE,M8V 1C5,7610,2022
LAKE SHORE BLVD W and ROYAL YORK RD,M8V 1G4,7179,400
LAKE SHORE BLVD W and THIRD ST,M8V,7960,1409
JANE ST and 400 S JANE ST RAMP,M6S 3Z5,26623,186
LAKE SHORE BLVD W and TENTH ST,M8V 4C7,7847,1503
LAKE SHORE BLVD W and KIPLING AVE,M8V 1L5,16881,1076
LAKE SHORE BLVD W and TWENTY SECOND ST,M8V 1L9,15944,2967
LAKE SHORE BLVD W and THIRTIETH ST,M8W 1N4,11260,638
LAKE SHORE BLVD W and LONG BRANCH AVE,M8W 1N6,11202,786
LAKE SHORE BLVD W and THIRTY SEVENTH ST,M8W 1N6,13675,1763
LAKE SHORE BLVD W and BROWNS LINE,M8W,12072,987
LAKE SHORE BLVD W and BROW DR,M8W 3P6,10946,280
PARLIAMENT ST and FRONT ST E,M5A 0B2,14319,1680
KING ST E and PARLIAMENT ST,M5A 3Y7,10781,2650
QUEEN ST E and PARLIAMENT ST,M5A 1S9,10563,4769
PARLIAMENT ST and SHUTER ST,M5A 1W6,8907,2584
DUNDAS ST E and PARLIAMENT ST,M5A 2B1,11666,6698
PARLIAMENT ST and GERRARD ST E,M5A 2Z7,13840,4702
PARLIAMENT ST and CARLTON ST,M5A 2L3,8226,7385
PARLIAMENT ST and WELLESLEY ST E,M4X 1P9,12878,4674
BLOOR ST E and PARLIAMENT ST,M4X,17264,481
SHERBOURNE ST and FRONT ST E,M5A 1E7,13597,4256
KING ST E and SHERBOURNE ST,M5A 1J9,10293,4473
SHERBOURNE ST and ADELAIDE ST E,M5A 1N3,11996,5275
SHERBOURNE ST and RICHMOND ST E,M5A 4S8,14364,5606
QUEEN ST E and SHERBOURNE ST,M5A 1S4,11522,4268
DUNDAS ST E and SHERBOURNE ST,M5A 2R9,11697,5541
SHERBOURNE ST and GERRARD ST E,M5A 2R9,15254,2040
SHERBOURNE ST and CARLTON ST,M5A 4K2,8143,4328
SHERBOURNE ST and WELLESLEY ST E,M5A 4K2,13302,4262
BLOOR ST E and SHERBOURNE ST,M4W,15339,6308
FRONT ST W and SIMCOE ST,M5J 1G2,11290,31351
SIMCOE ST and WELLINGTON ST W,M5J 1J1,9034,17868
DUNDAS ST W and MC CAUL ST,M5T 1W2,10100,11071
DUNDAS ST W and BEVERLEY ST,M5T 1G4,11610,4911
RICHMOND ST W and DUNCAN ST,M5V 0H5,8831,5417
RICHMOND ST W and PETER ST,M5V 2H3,9004,7477
RICHMOND ST W and JOHN ST,M5V 2E4,8435,14291
ADELAIDE ST W and PETER ST,M5V 1P8,10387,9463
BLOOR ST W and ST GEORGE ST,M5S 1W7,12249,20185
SPADINA AVE and FRONT ST W,M5V 2A4,19268,4619
SPADINA AVE and KING ST W,M5V,17090,14705
SPADINA AVE and ADELAIDE ST W,M5T 0A1,16256,7818
SPADINA AVE and RICHMOND ST W,M5T 0A1,14558,9693
SPADINA AVE and QUEEN ST W,M5V,15709,19460
SPADINA AVE and DUNDAS ST W,M5T 1H2,11107,26960
SPADINA AVE and NASSAU ST,M5T,6586,7440
SPADINA AVE and COLLEGE ST,M5T,14353,10810
SPADINA AVE and HARBORD ST,M5S,17579,7679
BLOOR ST W and SPADINA AVE,M5T 0A1,16003,16470
BAYVIEW AVE and ROSEDALE VALLEY RD,M4W,17633,3
DUNDAS ST E and COXWELL AVE,M4L 3A7,11544,1007
DUNDAS ST E and WOODFIELD RD,M4L 2W6,8142,834
DUNDAS ST E and GREENWOOD AVE,M4L 2P6,11219,1168
DUNDAS ST E and LESLIE ST,M4M 3C7,7585,992
DUNDAS ST E and JONES AVE,M4M 1S7,12020,1377
DUNDAS ST E and PAPE AVE,M4M 2W3,10320,1072
DUNDAS ST E and CARLAW AVE,M4M 2S1,13161,1241
DUNDAS ST E and LOGAN AVE,M4M 2N9,9975,821
DUNDAS ST E and BOULTON AVE,M4M 1R4,9276,1155
BROADVIEW AVE and DUNDAS ST E,M4M 2G3,11422,2259
DUNDAS ST E and RIVER ST,M5A 3P6,14073,1407
DANFORTH AVE and BROADVIEW AVE,M4K 1N2,19400,12023
BLOOR ST E and CASTLE FRANK RD,M4W 1J3,16611,1040
BATHURST ST and QUEEN ST W,M5V 2A4,14588,10895
BATHURST ST and FRONT ST W,M5V 2P1,12726,830
BATHURST ST and RICHMOND ST W,M5V 2R2,11748,3918
LAKE SHORE BLVD W and FLEET ST,M5V,20230,132
COLLEGE ST and BATHURST ST,M5T,14329,8776
EASTERN AVE and COXWELL AVE,M4L 1E5,12217,533
EASTERN AVE and LESLIE ST,M4L 1A1,12068,1535
BATHURST ST and HARBORD ST,M5S 2R5,15337,3012
BATHURST ST and BARTON AVE,M5R 3G5,19364,2617
BATHURST ST and DUPONT ST,M5R 1W5,20173,1975
BATHURST ST and NINA ST,M5R 3H8,17065,840
BATHURST ST and LONSDALE RD,M5P 1R8,17157,508
BATHURST ST and BURTON RD,M5P 1V2,19676,345
BATHURST ST and ROSELAWN AVE,M5N 1L2,17781,782
BATHURST ST and BRIAR HILL AVE,M6B 2Z6,20567,572
BATHURST ST and VIEWMOUNT AVE,M6B 3A1,18617,924
BATHURST ST and GLENCAIRN AVE,M6B 1Z1,15498,1482
BATHURST ST and SHELBOURNE AVE,Canada,19333,1139
BATHURST ST and SARANAC BLVD,M6A 2B2,17368,687
BATHURST ST and PRINCE CHARLES DR,M6A 2B5,17900,396
BATHURST ST and RANEE AVE,M6A 2C1,12621,666
BATHURST ST and NEPTUNE DR,M6A 2C8,18391,991
BATHURST ST and JOICEY BLVD,M6A 2E6,19525,1340
SHERBOURNE ST and SHUTER ST,M5A 2R6,9862,3786
BATHURST ST and WILSON AVE,M3H,25136,6296
BLOOR ST W and BATHURST ST,M6G 1K1,17508,12167
BLOOR ST W and CHRISTIE ST,M6G 1L5,9761,5757
BLOOR ST W and SHAW ST,M6G 1M1,8690,2426
BLOOR ST W and DOVERCOURT RD,M6H 1L6,14725,2966
DUFFERIN ST and BLOOR ST W,M6H 1M7,20038,12277
BLOOR ST W and LANSDOWNE AVE,M6H 1P2,17274,3872
DUNDAS ST W and BLOOR ST W,M6P,19755,5303
BLOOR ST W and KEELE ST,M6R 2Z9,24538,3018
BLOOR ST W and HIGH PARK AVE,M6P 2R5,13028,1996
BLOOR ST W and CLENDENAN AVE,M6S 1M4,12170,1826
BLOOR ST W and RUNNYMEDE RD,M6S 1N4,14213,11632
BLOOR ST W and WINDERMERE AVE,M6S 1P2,13640,5135
BLOOR ST W and JANE ST,M6S 1P9,17570,3485
BLOOR ST W and SOUTH KINGSWAY,M6S,18595,1640
BLOOR ST W and OLD MILL TRL,M8X,15806,496
BLOOR ST W and THE KINGSWAY,M8X 1G8,13797,213
BLOOR ST W and PRINCE EDWARD DR N,M8X 1B5,21167,1187
BLOOR ST W and ROYAL YORK RD,M8X 1C2,23173,3056
BLOOR ST W and ISLINGTON AVE,M8X,25266,1833
BLOOR ST W and JACKSON AVE,M8X 1B8,13796,722
BLOOR ST W and OSSINGTON AVE,M6G 1M5,15518,8063
DANFORTH AVE and CHESTER AVE,M4K 2Z9,10312,4132
DANFORTH AVE and LOGAN AVE,M4K 3E4,11526,6884
DANFORTH AVE and CARLAW AVE,M4K 1P8,10706,3431
DANFORTH AVE and PAPE AVE,M4K 1R3,18115,14052
DANFORTH AVE and JONES AVE,M4J 1L2,13163,2832
DANFORTH AVE and DONLANDS AVE,M4J 1M1,13674,4429
DANFORTH AVE and GREENWOOD AVE,M4J 1M3,15446,3536
DANFORTH AVE and COXWELL AVE,M4C 3B9,19534,7267
DANFORTH AVE and GLEBEMOUNT AVE,M4C 1H8,11852,1152
DANFORTH AVE and WOODBINE AVE,M4C 1J6,19125,5227
DANFORTH AVE and GLEDHILL AVE,M4C 5K7,12852,1663
MAIN ST and DANFORTH AVE,M4C 1L4,15646,7102
DANFORTH AVE and DAWES RD,M4C 1L7,13932,1414
DANFORTH AVE and VICTORIA PARK AVE,M4C 1N2,21459,5470
DANFORTH AVE and PHARMACY AVE,M1L 1B8,16757,831
DANFORTH AVE and DANFORTH RD,M1L 1E2,13682,113
DANFORTH AVE and WARDEN AVE,M1L 1E1,16187,488
DANFORTH AVE and BIRCHMOUNT RD,M1N,10152,230
CLONMORE DR and HOLLIS AVE,M1N,11986,138
GERRARD ST E and VICTORIA PARK AVE,M4E 3T6,18821,1343
GERRARD ST E and MALVERN AVE,M4E 2E1,11353,300
GERRARD ST E and MAIN ST,M4E 2W1,16181,1627
GERRARD ST E and GLENMOUNT PARK RD,M4E 2B8,8606,348
GERRARD ST E and WOODBINE AVE,M4L 2C1,16958,1499
GERRARD ST E and BOWMORE RD,M4L 2B3,5543,513
COXWELL AVE and FAIRFORD AVE,M4L 3B7,10215,1892
COXWELL AVE and GERRARD ST E,M4L 3B7,10418,5069
GERRARD ST E and GREENWOOD AVE,M4L 1Y6,12563,2050
GERRARD ST E and JONES AVE,M4M 1Z7,11491,2189
GERRARD ST E and PAPE AVE,M4M 1Z4,9482,2677
GERRARD ST E and CARLAW AVE,M4K 3H9,14270,3177
GERRARD ST E and LOGAN AVE,M4M 1Y8,9363,2688
BROADVIEW AVE and GERRARD ST E,M4M 2G9,10982,5053
DANFORTH RD and KENNEDY RD,M1K,9900,91
DANFORTH RD and MACK AVE,M1L 3X3,8898,164
DANFORTH RD and MIDLAND AVE,M1K,12456,839
DANFORTH RD and BRIMLEY RD,M1J,15225,560
EGLINTON AVE E and DANFORTH RD,M1J,22844,1340
LAWRENCE AVE E and MCCOWAN RD,M1P,28053,2239
DAVENPORT RD and BEDFORD RD,M5R 1J9,17560,1271
DAVENPORT RD and DUPONT ST,M5R 1K6,15220,1769
DAVENPORT RD and KENDAL AVE,M5R,19157,1078
BATHURST ST and DAVENPORT RD,M5R 1L4,20361,657
DAVENPORT RD and CHRISTIE ST,M6G 2B4,12464,866
DAVENPORT RD and OSSINGTON AVE,M6G 2C3,12077,431
DAVENPORT RD and OAKWOOD AVE,M6H 2G7,15267,974
DUFFERIN ST and DAVENPORT RD,M6H 2H5,19252,1293
DAVENPORT RD and LANSDOWNE AVE,M6H 3Z9,13178,1151
DAVENPORT RD and CALEDONIA PARK RD,M6H 3Z8,13876,159
OLD WESTON RD and DAVENPORT RD,M6N 1E1,8478,144
ST CLAIR AVE E and DANFORTH RD,M1K 1L8,20237,420
WESTON RD and TORYORK DR,M9M 2Y3,14923,695
ROGERS RD and KEELE ST,M6M 1B7,16248,3586
WESTON RD and ROGERS RD,M6M,24380,2705
AVENUE RD and 401 C W AVENUE RD RAMP,Canada,13653,75
LAWRENCE AVE E and SCARBOROUGH GOLF CLUB RD,M1G,18423,800
LAWRENCE AVE E and BURNVIEW CRES,M1H 1A4,17430,849
LAWRENCE AVE W and BENTON RD,M6L 1A3,19469,938
LESLIE ST and LAWRENCE AVE E,M3C 3W2,28979,352
LAWRENCE AVE E and THE DONWAY W,M3C,21144,1538
LAWRENCE AVE E and DON MILLS RD,M3C,30555,2471
LAWRENCE AVE E and THE DONWAY E,M3B,22686,1260
LAWRENCE AVE E and UNDERHILL DR,M3A,28290,775
DANFORTH AVE and BIRCHMOUNT RD,M1N,8736,140
LAWRENCE AVE E and CURLEW DR,M3A 1C1,27922,1144
LAWRENCE AVE E and VICTORIA PARK AVE,M1R,39515,4699
LAWRENCE AVE E and PHARMACY AVE,M1R,46260,1965
LAWRENCE AVE E and WARDEN AVE,M1R,36985,2352
LAWRENCE AVE E and BIRCHMOUNT RD,M1R,28213,1125
LAWRENCE AVE E and CANLISH RD,M1P 2P5,18751,861
LAWRENCE AVE E and KENNEDY RD,M1P,33852,2846
LAWRENCE AVE E and MIDLAND AVE,M1P,28584,2163
LAWRENCE AVE E and BRIMLEY RD,M1J,28408,818
LAWRENCE AVE E and BARRYMORE RD,M1P 2V6,16451,565
LAWRENCE AVE E and BELLAMY RD N,M1H,27182,1329
DANFORTH RD and BIRCHMOUNT RD,M1L,12128,953
DANFORTH RD and WARDEN AVE,M1L,15485,385
LAWRENCE AVE E and GREENCEDAR CRCT,M1S 5J3,18245,884
LAWRENCE AVE E and MARKHAM RD,M1H,25775,4798
LAWRENCE AVE W and DUPLEX AVE,M5M 3J5,16248,593
LAWRENCE AVE W and LEDBURY ST,M5M 4H1,16089,493
BATHURST ST and LAWRENCE AVE W,M6A,22429,3429
LAWRENCE AVE W and VARNA DR,M6A 1A5,15584,175
LAWRENCE AVE W and MARLEE AVE,M6B 2X4,26015,2862
DUFFERIN ST and LAWRENCE AVE W,M6B,29053,2378
LAWRENCE AVE W and CALEDONIA RD,M6A,26171,930
KEELE ST and LAWRENCE AVE W,M6M,28931,6505
LAWRENCE AVE W and CULFORD RD,M6L 1B9,21351,1630
JANE ST and LAWRENCE AVE W,M9N,25776,4386
WESTON RD and LAWRENCE AVE W,M9N 3P1,15780,4089
LAWRENCE AVE W and SCARLETT RD,M9P 2V2,17799,265
DIXON RD and ROYAL YORK RD,M9P,18293,403
DIXON RD and ISLINGTON AVE,M9P,31673,1581
DIXON RD and KIPLING AVE,M9R 1S7,21477,1693
DIXON RD and CELESTINE DR,M9R 3M6,14048,241
